

-------THE SECURE LOOP FRAME OUTPUT-------

Requested Action	: Analyse Secure Loop Frames
Generated on	: Thu Apr 14 19:17:39 2011
Line Number	      : 1
Time Slot Number  : 31
Sub Channel Number: 0
Direction         : R1(Receieved)

-----------------------------------------------------------------------------------------------------------------------
Date Time		Line&TS	Message Name
-----------------------------------------------------------------------------------------------------------------------
16:14:38.53788600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:38.71785100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:38.89781800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:39.07828300 L1R1TS31SC0 CAVA_REQ      MSG
16:14:39.25724800 L1R1TS31SC0 CAVA_REQ      MSG
16:14:39.43721400 L1R1TS31SC0 CAVA_REQ      MSG
16:14:39.61717900 L1R1TS31SC0 CAVA_REQ      MSG
16:14:39.79714500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:39.97711100 L1R1TS31SC0 CAVA_REQ      MSG
16:14:40.15857600 L1R1TS31SC0 CAVA_REQ      MSG
16:14:40.34654000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:40.52650500 L1R1TS31SC0 CAVA_REQ      MSG
16:14:40.70647000 L1R1TS31SC0 CAVA_REQ      MSG
16:14:40.88643600 L1R1TS31SC0 CAVA_REQ      MSG
